jobTitle,department,earnings,year,serviceArea,hourlyWage,status
city manager,city manager's office,264077.56,2016,city manager,126.96,full time
city attorney,city attorney's office,191141.34,2016,city attorney,91.89,full time
deputy city manager,city manager's office,177600.92,2016,city manager,85.39,full time
chief of police,office of the chief,173473.09,2016,police services,83.4,full time
assistant city manager,city manager's office,169134.27,2016,city manager,81.31,full time
chief financial officer,finance administration,166563.61,2016,financial services,80.08,full time
assistant city manager,city manager's office,162739.03,2016,city manager,78.24,full time
police assistant chief,office of the chief,144158.95,2016,police services,69.31,full time
special services supervisor,electric field services,142339.72,2016,utility services,68.43,full time
director of pdt,pdt administration,140668.69,2016,planning development & transportation,67.63,full time
police deputy chief,patrol,139974.75,2016,police services,67.3,full time
deputy city attorney,city attorney's office,137403.45,2016,city attorney,66.06,full time
police deputy chief,investigations,136255.81,2016,police services,65.51,full time
sr assistant city attorney,city attorney's office,135015,2016,city attorney,64.91,full time
chief sustainability officer,sustainability services admin,134514,2016,sustainability services,64.67,full time
chief information officer,information technology,133581.12,2016,information and employee services,64.22,full time
light and power operations mgr,l&p operations service unit,130015,2016,utility services,62.51,full time
police lieutenant,patrol,129678.28,2016,police services,62.35,full time
special projects mgr-inactive,ut water utl engineering div,129636.99,2016,planning development & transportation,62.33,full time
police sergeant,patrol,128179.89,2016,police services,61.62,full time
water eng field operations mgr,ut water systems engr div,128051.41,2016,utility services,61.56,full time
dir of infrastructure services,engineering,126861.46,2016,planning development & transportation,60.99,full time
police sergeant,patrol,126408.29,2016,police services,60.77,full time
police lieutenant,patrol,124778.91,2016,police services,59.99,full time
police lieutenant,patrol,123455.34,2016,police services,59.35,full time
police lieutenant,investigations,122435.88,2016,police services,58.86,full time
supervisory crew chief,electric field services,121820.6,2016,utility services,58.57,full time
supervisory crew chief,electric field services,121146.37,2016,utility services,58.24,full time
operations services director,operation services,121088.65,2016,community and operation services,58.22,full time
police lieutenant,patrol,121017.97,2016,police services,58.18,full time
police lieutenant,office of the chief,120095.23,2016,police services,57.74,full time
police sergeant,investigations,119631.57,2016,police services,57.52,full time
police sergeant,investigations,119561.88,2016,police services,57.48,full time
police lieutenant,patrol,119326.94,2016,police services,57.37,full time
police lieutenant,investigations,119167.94,2016,police services,57.29,full time
sr assistant city attorney,city attorney's office,118590.58,2016,city attorney,57.01,full time
police sergeant,patrol,118471.88,2016,police services,56.96,full time
util cust connections mgr,utilities customer connections,118414.72,2016,utility services,56.93,full time
"dir safty, securty & risk mgmt","safety, security, & risk mgmt.",118317.33,2016,financial services,56.88,full time
pdt deputy director,pdt administration,117947.37,2016,planning development & transportation,56.71,full time
police sergeant,patrol,117724.42,2016,police services,56.6,full time
wtr resourcs/treatmnt opns mgr,ut water production div,117599.17,2016,utility services,56.54,full time
line crew chief,electric field services,116831.09,2016,utility services,56.17,full time
comm dev & neigh svcs director,comm dev & neighborhood svcs,116287,2016,planning development & transportation,55.91,full time
information security architect,information technology,116071.64,2016,information and employee services,55.8,full time
street oversizing program mgr,engineering,115767.91,2016,planning development & transportation,55.66,full time
police sergeant,patrol,115736.62,2016,police services,55.64,full time
police lieutenant,patrol,115392.58,2016,police services,55.48,full time
police sergeant,investigations,115019.48,2016,police services,55.3,full time
police sergeant,office of the chief,114972.79,2016,police services,55.28,full time
standards engineering mgr,ut standards engineering div,114820.39,2016,planning development & transportation,55.2,full time
asst human resources director,human resources,114470.41,2016,information and employee services,55.03,full time
police officer,investigations,113753.86,2016,police services,54.69,full time
water systems eng mgr,ut water utl engineering div,113302.09,2016,planning development & transportation,54.47,full time
mgr of cap prjcts/city engneer,engineering,113224.42,2016,planning development & transportation,54.43,full time
municipal judge,municipal court,113172.77,2016,judicial services,54.41,full time
sr database administrator,information technology,112772.42,2016,information and employee services,54.22,full time
chief engineer,ut water systems engr div,112734.26,2016,utility services,54.2,full time
police sergeant,patrol,112733.59,2016,police services,54.2,full time
police sergeant,patrol,112572.3,2016,police services,54.12,full time
police sergeant,investigations,112024.95,2016,police services,53.86,full time
water production manager,ut water production div,111640.08,2016,utility services,53.67,full time
sr database administrator,information technology,111127.82,2016,information and employee services,53.43,full time
police sergeant,office of the chief,110125.59,2016,police services,52.94,full time
police sergeant,patrol,109950.58,2016,police services,52.86,full time
line crew chief,electric field services,109695.69,2016,utility services,52.74,full time
police sergeant,patrol,109146.04,2016,police services,52.47,full time
police sergeant,investigations,108939.26,2016,police services,52.37,full time
police sergeant,patrol,108901.97,2016,police services,52.36,full time
police sergeant,patrol,108850.88,2016,police services,52.33,full time
sr electrical engineer,ut electric systems eng div,108555.77,2016,utility services,52.19,full time
environmental services directr,environmental services,108413.01,2016,sustainability services,52.12,full time
police officer,patrol,108383.08,2016,police services,52.11,full time
city clerk,city clerk's office,107834.57,2016,deputy city manager,51.84,full time
sr assistant city attorney,city attorney's office,107762.7,2016,city attorney,51.81,full time
police sergeant,patrol,107460.23,2016,police services,51.66,full time
police sergeant,patrol,107356.48,2016,police services,51.61,full time
line crew chief,electric field services,107352.58,2016,utility services,51.61,full time
asst operations services dir,operation services,107205.24,2016,community and operation services,51.54,full time
police sergeant,investigations,106719.35,2016,police services,51.31,full time
assistant city attorney ii,city attorney's office,106442.31,2016,city attorney,51.17,full time
supervisory elect sys operator,electric field services,106327.64,2016,utility services,51.12,full time
streets superintendent,streets,106301.37,2016,planning development & transportation,51.11,full time
electric field service manager,electric field services,106046.92,2016,utility services,50.98,full time
sr electrical engineer,l&p operations service unit,105393.82,2016,utility services,50.67,full time
police sergeant,patrol,105115.3,2016,police services,50.54,full time
electric lineworker,electric field services,105112.63,2016,utility services,50.53,full time
water resources manager,ut water resources div,104524.99,2016,utility services,50.25,full time
it director - application svcs,information technology,104418.7,2016,information and employee services,50.2,full time
electric lineworker,electric field services,104123.82,2016,utility services,50.06,full time
dir of park planning & dev,park planning & development,103866.75,2016,community and operation services,49.94,full time
services crew chief,electric field services,103855.9,2016,utility services,49.93,full time
application svcs mgr-utilities,information technology,103824.63,2016,information and employee services,49.92,full time
energy services manager,utilities customer connections,103718.62,2016,utility services,49.86,full time
police officer,investigations,103054.81,2016,police services,49.55,full time
sr electrical engineer,l&p operations service unit,102752.91,2016,utility services,49.4,full time
police sergeant,patrol,102354.43,2016,police services,49.21,full time
police officer,patrol,102274.98,2016,police services,49.17,full time
police officer,patrol,102247.65,2016,police services,49.16,full time
line crew chief,electric field services,102211.48,2016,utility services,49.14,full time
pavement mgmt program mgr,streets,102113.43,2016,planning development & transportation,49.09,full time
recreation director,recreation,101877.66,2016,community and operation services,48.98,full time
sr network engineer,information technology,101814.72,2016,information and employee services,48.95,full time
development review manager,engineering,101754.7,2016,planning development & transportation,48.92,full time
sr software engineer,information technology,101209.07,2016,information and employee services,48.66,full time
electric lineworker,electric field services,101195.61,2016,utility services,48.65,full time
line crew chief,electric field services,101116.59,2016,utility services,48.61,full time
electric lineworker,electric field services,101113.16,2016,utility services,48.61,full time
director of parks,parks,100976.4,2016,community and operation services,48.55,full time
sr software engineer,information technology,100886.25,2016,information and employee services,48.5,full time
hr business and technology mgr,human resources,100841.98,2016,information and employee services,48.48,full time
util strategic finance dir,utility financial operations,100810.38,2016,utility services,48.47,full time
accounting director,accounting and treasury,100796.52,2016,financial services,48.46,full time
police sergeant,patrol,100636.5,2016,police services,48.38,full time
police officer,investigations,100508.82,2016,police services,48.32,full time
police officer,patrol,100399.76,2016,police services,48.27,full time
planning manager,comm dev & neighborhood svcs,100260.67,2016,planning development & transportation,48.2,full time
line crew chief,electric field services,100223.57,2016,utility services,48.18,full time
police officer,investigations,100199.52,2016,police services,48.17,full time
sr electric systems operator,electric field services,100152.12,2016,utility services,48.15,full time
police officer,patrol,100020.71,2016,police services,48.09,full time
sr network engineer,information technology,100015.61,2016,information and employee services,48.08,full time
police officer,patrol,99652.68,2016,police services,47.91,full time
police officer,patrol,99650.07,2016,police services,47.91,full time
police officer,patrol,99527.6,2016,police services,47.85,full time
police officer,patrol,99324.4,2016,police services,47.75,full time
controller,finance administration,99008.54,2016,financial services,47.6,full time
police systems analyst,information technology,98495.18,2016,information and employee services,47.35,full time
electric lineworker,electric field services,98277.11,2016,utility services,47.25,full time
police officer,investigations,98245.61,2016,police services,47.23,full time
police officer,patrol,98223.74,2016,police services,47.22,full time
police officer,patrol,98044.23,2016,police services,47.14,full time
line crew chief,electric field services,97858.56,2016,utility services,47.05,full time
police officer,investigations,97846.7,2016,police services,47.04,full time
police officer,investigations,97679.51,2016,police services,46.96,full time
economic health director,economic health office,97581.94,2016,sustainability services,46.91,full time
budget director,budget,97091.5,2016,financial services,46.68,full time
systems administration mgr,information technology,97034.95,2016,information and employee services,46.65,full time
police officer,investigations,96957.35,2016,police services,46.61,full time
pavement engineer,streets,96853.28,2016,planning development & transportation,46.56,full time
civil engineer iii-inactive,engineering,96850.57,2016,planning development & transportation,46.56,full time
systems analyst,information technology,96738.55,2016,information and employee services,46.51,full time
line crew chief,electric field services,96737.72,2016,utility services,46.51,full time
meter systems supervisor,ut standards engineering div,96597.76,2016,planning development & transportation,46.44,full time
police officer,investigations,96534.67,2016,police services,46.41,full time
line equipment crew chief,electric field services,96260.52,2016,utility services,46.28,full time
sr energy services engineer,utilities customer connections,96233.36,2016,utility services,46.27,full time
police officer,patrol,96192.49,2016,police services,46.25,full time
electric lineworker,electric field services,96124.53,2016,utility services,46.21,full time
sr database analyst,information technology,95481.7,2016,information and employee services,45.9,full time
police officer,investigations,95104.31,2016,police services,45.72,full time
electric lineworker,electric field services,94921.45,2016,utility services,45.64,full time
chief building official-inactv,comm dev & neighborhood svcs,94913.73,2016,planning development & transportation,45.63,full time
police psychologist,office of the chief,94895.69,2016,police services,45.62,full time
assistant city attorney ii,city attorney's office,94878.46,2016,city attorney,45.61,full time
police officer,investigations,94807.14,2016,police services,45.58,full time
police officer,patrol,94781.04,2016,police services,45.57,full time
sr database analyst,information technology,94639.14,2016,information and employee services,45.5,full time
assistant city attorney ii,city attorney's office,94551.35,2016,city attorney,45.46,full time
sr electric systems operator,electric field services,94466.73,2016,utility services,45.42,full time
police officer,investigations,94429.17,2016,police services,45.4,full time
civil engineer iii-inactive,ut water utl engineering div,94354,2016,planning development & transportation,45.36,full time
police officer,investigations,94237.27,2016,police services,45.31,full time
water util field opns supntndt,ut water meters div,94219.14,2016,utility services,45.3,full time
police officer,investigations,94207.52,2016,police services,45.29,full time
police officer,patrol,94098.18,2016,police services,45.24,full time
civil engineer iii-inactive,engineering,94073.44,2016,planning development & transportation,45.23,full time
civil engineer iii-inactive,ut water systems engr div,94016.99,2016,utility services,45.2,full time
electric lineworker,electric field services,93972.44,2016,utility services,45.18,full time
special projects mgr-inactive,ut water utl engineering div,93897.87,2016,planning development & transportation,45.14,full time
strategic finance director,finance administration,93879.48,2016,financial services,45.13,full time
police officer,patrol,93865.04,2016,police services,45.13,full time
police officer,patrol,93856.54,2016,police services,45.12,full time
special projects mgr-inactive,ut water systems engr div,93853.71,2016,utility services,45.12,full time
police officer,patrol,93509.87,2016,police services,44.96,full time
police officer,investigations,93479.6,2016,police services,44.94,full time
police officer,patrol,93436.29,2016,police services,44.92,full time
electric lineworker,electric field services,93426.8,2016,utility services,44.92,full time
police officer,patrol,93255.63,2016,police services,44.83,full time
special projects mgr-inactive,ut water utl engineering div,93202.5,2016,planning development & transportation,44.81,full time
sr energy services engineer,utilities customer connections,93175.92,2016,utility services,44.8,full time
electrical services supervisor,electric field services,93168.17,2016,utility services,44.79,full time
police officer,patrol,92951.34,2016,police services,44.69,full time
special projects mgr-inactive,ut water utl engineering div,92781.43,2016,planning development & transportation,44.61,full time
special projects mgr-inactive,ut water systems engr div,92759.97,2016,utility services,44.6,full time
police officer,patrol,92681.49,2016,police services,44.56,full time
police officer,patrol,92471.14,2016,police services,44.46,full time
police officer,patrol,92435.59,2016,police services,44.44,full time
network administration mgr,information technology,92421.13,2016,information and employee services,44.43,full time
police officer,investigations,92250.63,2016,police services,44.35,full time
police officer,patrol,91840.79,2016,police services,44.15,full time
police officer,investigations,91785.38,2016,police services,44.13,full time
police officer,patrol,91758.78,2016,police services,44.11,full time
police officer,investigations,91567.74,2016,police services,44.02,full time
police officer,patrol,91495.46,2016,police services,43.99,full time
police officer,patrol,91318.11,2016,police services,43.9,full time
police officer,patrol,91240.62,2016,police services,43.87,full time
systems administrator,information technology,91197.84,2016,information and employee services,43.85,full time
police officer,patrol,91174.98,2016,police services,43.83,full time
police officer,patrol,91132.32,2016,police services,43.81,full time
information services manager,information technology,90957.99,2016,information and employee services,43.73,full time
police officer,investigations,90952.48,2016,police services,43.73,full time
lineworker equipment spec,electric field services,90933.29,2016,utility services,43.72,full time
neighborhood services manager,comm dev & neighborhood svcs,90840.31,2016,planning development & transportation,43.67,full time
police officer,patrol,90820.15,2016,police services,43.66,full time
electric dist safety supv,electric field services,90735.72,2016,utility services,43.62,full time
police officer,patrol,90707.93,2016,police services,43.61,full time
police officer,office of the chief,90690.72,2016,police services,43.6,full time
assistant city attorney ii,city attorney's office,90668.64,2016,city attorney,43.59,full time
water trtmnt plant superintndt,ut water production div,90662.08,2016,utility services,43.59,full time
police officer,investigations,90561.59,2016,police services,43.54,full time
police officer,investigations,90440.4,2016,police services,43.48,full time
police officer,patrol,90393.95,2016,police services,43.46,full time
project engineering supervisor,ut electric systems eng div,90197.57,2016,utility services,43.36,full time
plans analyst,comm dev & neighborhood svcs,90106.12,2016,planning development & transportation,43.32,full time
information services manager,information technology,90067.62,2016,information and employee services,43.3,full time
sr energy services engineer,utilities customer connections,89963.39,2016,utility services,43.25,full time
fc moves program manager,fc moves,89949.42,2016,planning development & transportation,43.24,full time
police officer,patrol,89776.14,2016,police services,43.16,full time
police officer,patrol,89758.84,2016,police services,43.15,full time
police officer,patrol,89660,2016,police services,43.11,full time
chief planner,comm dev & neighborhood svcs,89642.92,2016,planning development & transportation,43.1,full time
systems analyst,information technology,89428.53,2016,information and employee services,42.99,full time
police officer,patrol,89407.42,2016,police services,42.98,full time
police officer,office of the chief,89164.16,2016,police services,42.87,full time
police officer,patrol,89118.67,2016,police services,42.85,full time
police officer,patrol,89115.83,2016,police services,42.84,full time
mgr of forestry/ city forester,parks,89111.66,2016,community and operation services,42.84,full time
police officer,investigations,89075.39,2016,police services,42.82,full time
police officer,patrol,89044.82,2016,police services,42.81,full time
facilities project manager,operation services,88503.88,2016,community and operation services,42.55,full time
civil engineer ii- inactive,ut water utl engineering div,88452.98,2016,planning development & transportation,42.53,full time
electric lineworker,electric field services,88386.36,2016,utility services,42.49,full time
police officer,office of the chief,88361.03,2016,police services,42.48,full time
police officer,patrol,88278.46,2016,police services,42.44,full time
sr elec util proj mgr,ut electric systems eng div,88171.27,2016,utility services,42.39,full time
police officer,patrol,88151.52,2016,police services,42.38,full time
police officer,patrol,88025.78,2016,police services,42.32,full time
police officer,patrol,88011.97,2016,police services,42.31,full time
civil engineer ii- inactive,engineering,87981.06,2016,planning development & transportation,42.3,full time
police officer,patrol,87925.75,2016,police services,42.27,full time
sr construction inspector,streets,87899.23,2016,planning development & transportation,42.26,full time
police officer,patrol,87847.96,2016,police services,42.23,full time
police officer,investigations,87841.3,2016,police services,42.23,full time
police systems analyst,information technology,87808.26,2016,information and employee services,42.22,full time
water resources engineer,ut water resources div,87725.26,2016,utility services,42.18,full time
police officer,patrol,87677.59,2016,police services,42.15,full time
police officer,patrol,87661.23,2016,police services,42.14,full time
police officer,patrol,87610.1,2016,police services,42.12,full time
police officer,patrol,87551.02,2016,police services,42.09,full time
utility rate analyst,utility financial operations,87478.25,2016,utility services,42.06,full time
police officer,patrol,87373.36,2016,police services,42.01,full time
police officer,patrol,87319.64,2016,police services,41.98,full time
electronic technician ii,ut standards engineering div,87236.12,2016,planning development & transportation,41.94,full time
police officer,patrol,87230.49,2016,police services,41.94,full time
police officer,patrol,87179.98,2016,police services,41.91,full time
police officer,investigations,87146,2016,police services,41.9,full time
police officer,office of the chief,86995.34,2016,police services,41.82,full time
police officer,patrol,86958.1,2016,police services,41.81,full time
police officer,investigations,86907.52,2016,police services,41.78,full time
police officer,investigations,86817.14,2016,police services,41.74,full time
police officer,patrol,86613.6,2016,police services,41.64,full time
police officer,patrol,86602.81,2016,police services,41.64,full time
police officer,investigations,86496.3,2016,police services,41.58,full time
police officer,patrol,86343.6,2016,police services,41.51,full time
police officer,patrol,86336.64,2016,police services,41.51,full time
civil engineer ii- inactive,ut water utl engineering div,86322.03,2016,planning development & transportation,41.5,full time
lead maintenance specialist,ut water production div,86243.41,2016,utility services,41.46,full time
utilities financial ops mgr,utility financial operations,86207.31,2016,utility services,41.45,full time
police officer,patrol,86197.54,2016,police services,41.44,full time
civil engineer ii- inactive,engineering,86179.65,2016,planning development & transportation,41.43,full time
police officer,investigations,86171.61,2016,police services,41.43,full time
police officer,patrol,86132.58,2016,police services,41.41,full time
it dir-infrastructure svs,information technology,86096.71,2016,information and employee services,41.39,full time
crew chief,streets,86049.91,2016,planning development & transportation,41.37,full time
police officer,investigations,86045.8,2016,police services,41.37,full time
chief surveyor,engineering,86032.9,2016,planning development & transportation,41.36,full time
police officer,patrol,86020.9,2016,police services,41.36,full time
crew chief,streets,85995.93,2016,planning development & transportation,41.34,full time
police officer,patrol,85795.81,2016,police services,41.25,full time
key accounts rep,utilities customer connections,85793.09,2016,utility services,41.25,full time
systems analyst,information technology,85766.28,2016,information and employee services,41.23,full time
special projects engineer,engineering,85715.64,2016,planning development & transportation,41.21,full time
police officer,patrol,85706.15,2016,police services,41.2,full time
crew chief,streets,85663.48,2016,planning development & transportation,41.18,full time
police officer,patrol,85654.49,2016,police services,41.18,full time
learning & org dev manager,human resources,85554.04,2016,information and employee services,41.13,full time
police officer,patrol,85479.7,2016,police services,41.1,full time
police officer,patrol,85478.76,2016,police services,41.1,full time
civil engineer ii- inactive,engineering,85308.25,2016,planning development & transportation,41.01,full time
police officer,patrol,85246.96,2016,police services,40.98,full time
revenue and project manager,sales tax,85232.85,2016,financial services,40.98,full time
assistant city attorney ii,city attorney's office,85217.91,2016,city attorney,40.97,full time
police officer,patrol,85185.61,2016,police services,40.95,full time
police officer,patrol,85111.17,2016,police services,40.92,full time
police officer,patrol,85046.82,2016,police services,40.89,full time
museum director,cultural services,84969.77,2016,community and operation services,40.85,full time
police officer,investigations,84781.21,2016,police services,40.76,full time
police officer,patrol,84740.76,2016,police services,40.74,full time
systems analyst,information technology,84723.53,2016,information and employee services,40.73,full time
energy manager,operation services,84718,2016,community and operation services,40.73,full time
police officer,investigations,84674.35,2016,police services,40.71,full time
utility rate analyst,utility financial operations,84666.52,2016,utility services,40.71,full time
electric lineworker,electric field services,84652.9,2016,utility services,40.7,full time
electric lineworker,electric field services,84611.08,2016,utility services,40.68,full time
civil engineer ii- inactive,ut water utl engineering div,84599.63,2016,planning development & transportation,40.67,full time
systems analyst,information technology,84598.58,2016,information and employee services,40.67,full time
police officer,patrol,84477.39,2016,police services,40.61,full time
civil engineer ii- inactive,ut water utl engineering div,84371.86,2016,planning development & transportation,40.56,full time
police officer,patrol,84296.42,2016,police services,40.53,full time
real estate services manager,operation services,84201.16,2016,community and operation services,40.48,full time
gis manager,information technology,84116.14,2016,information and employee services,40.44,full time
engineering project manager,engineering,84097.2,2016,planning development & transportation,40.43,full time
police officer,patrol,83838.51,2016,police services,40.31,full time
database analyst,information technology,83742.24,2016,information and employee services,40.26,full time
police officer,patrol,83732.89,2016,police services,40.26,full time
police officer,patrol,83709.15,2016,police services,40.24,full time
facilities project manager,operation services,83688.52,2016,community and operation services,40.23,full time
sr transportation planner,fc moves,83505.68,2016,planning development & transportation,40.15,full time
police officer,patrol,83501.79,2016,police services,40.15,full time
police officer,patrol,83459.34,2016,police services,40.12,full time
facilities project manager,operation services,83311.34,2016,community and operation services,40.05,full time
civil engineer ii- inactive,ut water utl engineering div,83291.96,2016,planning development & transportation,40.04,full time
police officer,patrol,83275.08,2016,police services,40.04,full time
police officer,patrol,83257.78,2016,police services,40.03,full time
lead building inspector,comm dev & neighborhood svcs,83251.03,2016,planning development & transportation,40.02,full time
police officer,investigations,83249.18,2016,police services,40.02,full time
systems administrator,information technology,83209.02,2016,information and employee services,40,full time
police officer,patrol,83153.37,2016,police services,39.98,full time
systems analyst,information technology,83127.83,2016,information and employee services,39.97,full time
community engagement manager,utilities customer connections,83055,2016,utility services,39.93,full time
historic preservation manager,comm dev & neighborhood svcs,82988.98,2016,planning development & transportation,39.9,full time
civil engineer ii- inactive,ut water utl engineering div,82922.73,2016,planning development & transportation,39.87,full time
telecom technical specialist,information technology,82861.28,2016,information and employee services,39.84,full time
police officer,patrol,82803.58,2016,police services,39.81,full time
recreation area manager,recreation,82572.63,2016,community and operation services,39.7,full time
police officer,patrol,82539.19,2016,police services,39.68,full time
police public relations mgr,office of the chief,82506.52,2016,police services,39.67,full time
sr landscape architect,park planning & development,82474.46,2016,community and operation services,39.65,full time
sr construction inspector,engineering,82469.2,2016,planning development & transportation,39.65,full time
telecom systems administrator,l&p operations service unit,82435.1,2016,utility services,39.63,full time
police officer,patrol,82252.07,2016,police services,39.54,full time
sr network engineer,information technology,82112.05,2016,information and employee services,39.48,full time
police officer,patrol,82037.74,2016,police services,39.44,full time
environmental program manager,environmental services,82032.92,2016,sustainability services,39.44,full time
police officer,investigations,81962.89,2016,police services,39.41,full time
police officer,investigations,81884.43,2016,police services,39.37,full time
police officer,patrol,81861.48,2016,police services,39.36,full time
communications & marketing mgr,utilities customer connections,81800.73,2016,utility services,39.33,full time
systems analyst,information technology,81717.2,2016,information and employee services,39.29,full time
civil engineer ii- inactive,engineering,81643.58,2016,planning development & transportation,39.25,full time
police officer,patrol,81438.33,2016,police services,39.15,full time
parks supervisor,parks,81152.17,2016,community and operation services,39.02,full time
criminalist,investigations,81147.27,2016,police services,39.01,full time
chemist,ut water production div,81102.49,2016,utility services,38.99,full time
maintenance planner/scheduler,operation services,81051.16,2016,community and operation services,38.97,full time
sr construction inspector,engineering,81025.26,2016,planning development & transportation,38.95,full time
water resources engineer,ut water resources div,80935.21,2016,utility services,38.91,full time
police officer,patrol,80737.15,2016,police services,38.82,full time
police officer,patrol,80737.15,2016,police services,38.82,full time
police officer,patrol,80737.15,2016,police services,38.82,full time
energy services engineer,utilities customer connections,80697.58,2016,utility services,38.8,full time
systems specialist,information technology,80560.54,2016,information and employee services,38.73,full time
electric lineworker,electric field services,80545.39,2016,utility services,38.72,full time
parks finance supervisor,community services admin,80438.93,2016,community and operation services,38.67,full time
investment administrator,accounting and treasury,80399.54,2016,financial services,38.65,full time
police officer,patrol,80112.76,2016,police services,38.52,full time
bikes program manager,fc moves,79905.15,2016,planning development & transportation,38.42,full time
police officer,patrol,79762.38,2016,police services,38.35,full time
systems administrator,information technology,79740.01,2016,information and employee services,38.34,full time
lineworker equipment spec,electric field services,79718.25,2016,utility services,38.33,full time
police officer,patrol,79664.55,2016,police services,38.3,full time
parks supervisor,parks,79652.17,2016,community and operation services,38.29,full time
electrical engineer i,ut standards engineering div,79597.62,2016,planning development & transportation,38.27,full time
compensation analyst,human resources,79519.42,2016,information and employee services,38.23,full time
water conservation mgr,utilities customer connections,79502.7,2016,utility services,38.22,full time
parks project manager,parks,79233.81,2016,community and operation services,38.09,full time
crew chief,parks,79220.6,2016,community and operation services,38.09,full time
police officer,patrol,79209.08,2016,police services,38.08,full time
financial & policy analyst,operation services,79183.23,2016,community and operation services,38.07,full time
electric lineworker,electric field services,79049.61,2016,utility services,38,full time
sr city planner,comm dev & neighborhood svcs,79004.5,2016,planning development & transportation,37.98,full time
electric utility project mgr,ut standards engineering div,78976.17,2016,planning development & transportation,37.97,full time
water supply supervisor,ut water production div,78659.75,2016,utility services,37.82,full time
construction inspector,streets,78583,2016,planning development & transportation,37.78,full time
plant operator,ut water production div,78457.79,2016,utility services,37.72,full time
police officer,patrol,78406.75,2016,police services,37.7,full time
electric lineworker,electric field services,78345.88,2016,utility services,37.67,full time
police officer,patrol,78344.85,2016,police services,37.67,full time
electric lineworker,electric field services,78327.02,2016,utility services,37.66,full time
plans analyst,comm dev & neighborhood svcs,78301.99,2016,planning development & transportation,37.65,full time
policy and project manager,city manager's office,78257.53,2016,city manager,37.62,full time
sr hris/benefits analyst,human resources,78167.85,2016,information and employee services,37.58,full time
police officer,patrol,78162.5,2016,police services,37.58,full time
construction inspector,engineering,78146.82,2016,planning development & transportation,37.57,full time
police officer,patrol,78023.45,2016,police services,37.51,full time
police officer,patrol,77993.94,2016,police services,37.5,full time
survey party chief-inactive,engineering,77886.59,2016,planning development & transportation,37.45,full time
sr urban forester,parks,77846.36,2016,community and operation services,37.43,full time
forestry supervisor,parks,77841.86,2016,community and operation services,37.42,full time
lead plant operator,ut water production div,77818.18,2016,utility services,37.41,full time
police officer,patrol,77815.49,2016,police services,37.41,full time
police officer,patrol,77789.17,2016,police services,37.4,full time
police officer,patrol,77712.66,2016,police services,37.36,full time
building inspector,comm dev & neighborhood svcs,77643.07,2016,planning development & transportation,37.33,full time
technical services specialist,investigations,77595.28,2016,police services,37.31,full time
technical svcs supv-wtr trtmnt,ut water production div,77540.35,2016,utility services,37.28,full time
energy services engineer,utilities customer connections,77352.98,2016,utility services,37.19,full time
police officer,patrol,77333.39,2016,police services,37.18,full time
police officer,patrol,77331.85,2016,police services,37.18,full time
police officer,patrol,77264.25,2016,police services,37.15,full time
police officer,patrol,77244.31,2016,police services,37.14,full time
lead plant operator,ut water production div,77204.99,2016,utility services,37.12,full time
wellness program manager,human resources,77024.47,2016,information and employee services,37.03,full time
water resources engineer,ut water resources div,76984,2016,utility services,37.01,full time
civil engineer i,ut water utl engineering div,76965.67,2016,planning development & transportation,37,full time
police officer,patrol,76945.83,2016,police services,36.99,full time
civil engineer i,ut water utl engineering div,76945.36,2016,planning development & transportation,36.99,full time
police officer,patrol,76843.06,2016,police services,36.94,full time
utilities project coordinator,utility financial operations,76840.14,2016,utility services,36.94,full time
sr gis programmer analyst,information technology,76735.55,2016,information and employee services,36.89,full time
electric lineworker,electric field services,76655.61,2016,utility services,36.85,full time
assistant city attorney i,city attorney's office,76610.9,2016,city attorney,36.83,full time
electric utility project mgr,ut electric systems eng div,76494.87,2016,utility services,36.78,full time
energy services engineer,utilities customer connections,76360.17,2016,utility services,36.71,full time
sr transportation planner,fc moves,76309.98,2016,planning development & transportation,36.69,full time
civil engineer i,ut water utl engineering div,76293.27,2016,planning development & transportation,36.68,full time
electric utility project mgr,ut electric systems eng div,76278.35,2016,utility services,36.67,full time
systems specialist,information technology,76265.51,2016,information and employee services,36.67,full time
police officer,patrol,76213.33,2016,police services,36.64,full time
police officer,patrol,76165.14,2016,police services,36.62,full time
electric lineworker,electric field services,75948.18,2016,utility services,36.51,full time
victim services supv-inactive,investigations,75869.24,2016,police services,36.48,full time
financial & policy analyst,information technology,75771.41,2016,information and employee services,36.43,full time
electric utility project mgr,ut electric systems eng div,75595.44,2016,utility services,36.34,full time
erp analyst,information technology,75509.91,2016,information and employee services,36.3,full time
electric utility project mgr,ut electric systems eng div,75504.69,2016,utility services,36.3,full time
chief deputy city clerk,city clerk's office,75196.1,2016,deputy city manager,36.15,full time
building inspector,comm dev & neighborhood svcs,75130.05,2016,planning development & transportation,36.12,full time
performance excellnce prog mgr,city manager's office,75032.79,2016,city manager,36.07,full time
sr city planner,comm dev & neighborhood svcs,75029.83,2016,planning development & transportation,36.07,full time
electric lineworker,electric field services,74971.38,2016,utility services,36.04,full time
police officer,patrol,74941.81,2016,police services,36.03,full time
economic health manager,economic health office,74933.45,2016,sustainability services,36.03,full time
telecom technical specialist,information technology,74818.13,2016,information and employee services,35.97,full time
systems specialist,information technology,74628.76,2016,information and employee services,35.88,full time
sr environmental planner,utilities customer connections,74542.16,2016,utility services,35.84,full time
